Тип занятия,Часы,Тема,Аннотация
Лекция 1,2-2,"Основные положения теории баз данных, хранилищ данных, баз знаний.",
Лекция 2,2-4,Методы поддержки целостности баз данных. Ссылочная целостность.,
Лекция 3,2-6,Основные принципы построения моделей баз данных. Проектирование базы данных. Уровни проектирования базы данных: концептуальный логический и физический. Пример разработки моделей баз данных,
Лекция 4,2-8,Принципы нормализации баз данных. Нормальные формы БД. Правила Кодда.,
Лекция 5,2-10,Модели и структуры информационных систем. Общие сведения. Архитектуры информационных систем: «файл—сервер и «клиент—сервер».,
Лекция 6,2-12,Транзакции. Понятие и характеристики транзакций. Операторы работы с транзакциями. Уровни изоляции.,
Лекция 7,2-14,Хранилище данных.,
Лекция 8,2-16,XML-данные.,
Лекция 9,2-18,Введение в Microsoft SQL Server. Общие сведения. Виды баз данных. Файлы баз данных. Файловые группы. ,
Лекция 10,2-20,"Режимы файлов баз данных. Экземпляры ядра системы управления базами данных автономная база данных. Схемы и объекты баз данных, системные компоненты и программные средства системы управления базами данных.",
Лекция 11,2-22,"Версии, установка и настройка сервера. Версии Microsoft SQL Server. Установка сервера. Настройка сервера.",
Лекция 12,2-24,Инструментальные средства разработки баз данных. Создание и настройка базы данных. Создание таблиц и работа с таблицами базы данных.,
Лекция 13,2-26,Системные базы данных. Общие сведения. База данных Master. База данных Model. База данных Tempdb. База данных Msdb. База данных Resource.,
Практика 1,2-28,Практическая работа №1. Разработка концептуальной модели базы данных,"### Краткое содержание занятия 'Практика 1': Практическая работа №1. Разработка концептуальной модели базы данных

#### Цели занятия:
- Ознакомить студентов с основами проектирования баз данных.
- Научить студентов разрабатывать концептуальные модели баз данных с использованием нотаций ER-диаграмм (Entity-Relationship).

#### Ключевые термины:
- Концептуальная модель базы данных
- Сущность (Entity)
- Атрибут (Attribute)
- Связь (Relationship)
- ER-диаграмма (Entity-Relationship Diagram)
- Нормализация
- Первичный ключ (Primary Key)
- Внешний ключ (Foreign Key)

#### Знания и навыки, которые должны получить студенты:
- Понимание принципов проектирования баз данных.
- Умение идентифицировать сущности и их атрибуты.
- Способность формулировать связи между сущностями.
- Навыки создания ER-диаграмм.
- Знание основ нормализации данных.

#### Работы, которые должны выполнить студенты:
1. **Исследование предметной области**: Выбрать реальную или гипотетическую предметную область (например, библиотека, интернет-магазин, учебный процесс) и собрать требования к базе данных.
   
2. **Определение сущностей и атрибутов**: На основе собранных требований определить ключевые сущности и их атрибуты.

3. **Формулирование связей**: Определить и описать связи между сущностями (например, один-к-одному, один-ко-многим, многие-ко-многим).

4. **Создание ER-диаграммы**: Используя инструменты для создания диаграмм (например, Lucidchart, Draw.io, MySQL Workbench), студенты должны визуализировать свои концептуальные модели в виде ER-диаграмм.

5. **Презентация результатов**: Подготовить краткую презентацию, в которой студенты представят свои концептуальные модели и объяснят выбор сущностей, атрибутов и связей.

#### Ожидаемые результаты:
Студенты должны продемонстрировать способность проектировать концептуальные модели баз данных и применять полученные знания на практике, создавая ER-диаг"
Практика 2,2-30,Практическая работа №2. Создание логической модели данных и нормализация отношений,
